transaction,symbol,buyer,seller,quantity,rate,amount,date
2025091805002197,BBC,43,84,10.0,4566.1,45661.0,2025-09-18
2025091804002342,MHNL,58,62,80.0,235.3,18824.0,2025-09-18
2025091805002196,RNLI,29,36,12.0,424.0,5088.0,2025-09-18
2025091804002341,RADHI,57,65,100.0,709.0,70900.0,2025-09-18
2025091805002195,BHL,14,86,20.0,167.0,3340.0,2025-09-18
2025091804002340,SPDL,48,16,800.0,362.4,289920.0,2025-09-18
2025091803001111,NFS,58,49,10.0,605.0,6050.0,2025-09-18
2025091801001785,KBL,48,57,160.0,179.0,28640.0,2025-09-18
2025091804002339,SHL,58,25,100.0,489.9,48990.0,2025-09-18
2025091804002338,BPCL,59,1,50.0,727.1,36355.0,2025-09-18
2025091803001110,JBBL,34,58,10.0,309.0,3090.0,2025-09-18
2025091805002194,HDL,45,45,10.0,1298.0,12980.0,2025-09-18
2025091803001109,CBBL,54,53,124.0,925.0,114700.0,2025-09-18
2025091805002193,HRL,26,45,56.0,878.0,49168.0,2025-09-18
2025091805002192,HRL,26,22,32.0,878.0,28096.0,2025-09-18
2025091805002191,HRL,26,34,12.0,878.0,10536.0,2025-09-18
2025091801001784,NMIC,74,32,20.0,1080.0,21600.0,2025-09-18
2025091805002190,SHIVM,45,19,25.0,532.0,13300.0,2025-09-18
2025091805002189,SHIVM,66,19,500.0,532.1,266050.0,2025-09-18
2025091805002188,SHIVM,35,19,675.0,534.0,360450.0,2025-09-18
2025091805002187,SONA,11,34,100.0,422.0,42200.0,2025-09-18
2025091803001108,NFS,58,7,10.0,605.0,6050.0,2025-09-18
2025091805002186,SHIVM,35,42,150.0,534.0,80100.0,2025-09-18
2025091805002185,ILI,45,45,12.0,411.1,4933.2,2025-09-18
2025091804002337,NLG,62,17,30.0,711.0,21330.0,2025-09-18
2025091804002336,BPCL,26,36,77.0,735.0,56595.0,2025-09-18
2025091804002335,BPCL,26,42,10.0,730.0,7300.0,2025-09-18
2025091804002334,BPCL,26,45,243.0,727.2,176709.6,2025-09-18
2025091805002184,SONA,11,44,41.0,422.0,17302.0,2025-09-18
2025091804002333,BPCL,98,45,20.0,727.2,14544.0,2025-09-18
2025091805002183,NIFRA,48,28,49.0,254.0,12446.0,2025-09-18
2025091804002332,RIDI,41,64,125.0,209.0,26125.0,2025-09-18
2025091804002331,RIDI,41,17,65.0,209.0,13585.0,2025-09-18
2025091804002330,RIDI,41,57,310.0,209.0,64790.0,2025-09-18
2025091801001783,BHCL,36,84,100.0,416.0,41600.0,2025-09-18
2025091805002182,CIT,25,35,10.0,1766.0,17660.0,2025-09-18
2025091805002181,CIT,42,35,10.0,1766.0,17660.0,2025-09-18
2025091805002180,CIT,35,35,50.0,1766.0,88300.0,2025-09-18
2025091805002179,CIT,91,35,15.0,1766.0,26490.0,2025-09-18
2025091803001107,JFL,34,34,20.0,402.7,8054.0,2025-09-18
2025091803001106,JFL,49,34,965.0,402.7,388605.5,2025-09-18
2025091801001782,SNLI,48,36,902.0,427.4,385514.8,2025-09-18
2025091801001781,SNLI,11,36,100.0,427.5,42750.0,2025-09-18
2025091801001780,SNLI,55,36,468.0,427.5,200070.0,2025-09-18
2025091804002329,UMHL,82,34,41.0,542.0,22222.0,2025-09-18
2025091801001779,NABIL,17,26,277.0,483.0,133791.0,2025-09-18
