date,close,open,high,low,volume,symbol
2012-06-14,61.1567,61.1567,61.1567,61.1567,120,SJLIC
2012-06-14,36.5928,36.5928,36.5928,36.5928,760,OHL
2012-06-14,47.9944,47.583,47.9944,47.3773,1710,JBBL
2012-06-14,75.9634,75.1519,75.9634,74.6649,1406,NIMB
2012-06-14,95.0012,95.2364,95.2364,93.7471,903,NABIL
2012-06-14,88.9485,87.5376,89.0315,87.5376,257,EBL
2012-06-14,89.3408,89.6016,89.6668,89.3408,170,AHPC
2012-06-14,30.4428,30.3376,30.5479,30.2851,560,GBBL
2012-06-14,40.8118,40.752,40.8716,40.6325,3464,FMDBL
2012-06-14,48.1093,48.4921,48.6198,48.1093,812,SANIMA
2012-06-14,31.408,31.5957,31.5957,31.408,780,MNBBL
2012-06-14,10.9749,11.5594,11.5594,10.9749,579,NUBL
2012-06-14,21.8632,21.8632,21.8632,21.8632,624,SPIL
2012-06-14,60.4486,59.6311,60.6121,59.6311,1135,KBL
2012-06-14,16.6763,16.8167,16.8167,16.6061,460,MDB
2012-06-14,103.4429,101.5838,103.4429,101.5838,2602,CHCL
2012-06-14,43.4242,43.7506,43.7506,43.4242,590,SICL
2012-06-14,15.7172,15.7172,15.7172,15.7172,10,SWBBL
2012-06-14,58.6253,58.6253,59.4257,58.145,2306,CZBIL
2012-06-14,66.4412,65.8801,66.4412,65.3189,1860,NHPC
2012-06-14,69.9652,69.7411,70.1146,69.7411,5000,ALICL
2012-06-14,67.6948,68.0717,68.0717,67.5692,280,LSL
2012-06-14,191.671,191.671,191.671,191.671,855,NTC
2012-06-14,136.5218,131.9941,136.5218,131.9941,3400,BPCL
2012-06-14,36.4972,37.037,37.037,35.9575,1912,ADBL
2012-06-14,107.1384,106.3119,107.1384,106.3119,118,SBI
2012-06-14,52.6041,52.8839,52.8839,52.0445,1718,NMB
2012-06-14,97.0654,97.8267,97.8267,97.0654,2580,CORBL
2012-06-14,43.0768,44.1584,44.1584,42.7677,4205,PCBL
2012-06-14,228.3412,232.1022,232.1022,227.6696,1463,SCB
2012-06-14,53.6208,53.6208,54.218,53.6208,643,SBL
2012-06-14,77.3056,77.8365,77.8365,77.3056,40,LICN
2012-06-14,73.3707,73.9144,73.9144,72.9629,2240,NICA
2012-06-14,37.3209,38.678,38.678,36.6423,365,JFL
2012-06-14,65.4976,64.6988,65.4976,64.6988,240,TRH
