open,high,low,close,volume,symbol,date
168.58,168.58,168.58,168.58,,Trading_index,2014-01-08
1687.65,1687.65,1687.65,1687.65,,HydroPower_index,2014-01-08
1099.79,1099.79,1099.79,1099.79,,Hotels%20and%20Tourism_index,2014-01-08
327.36,327.36,327.36,327.36,,Finance_index,2014-01-08
438.24,438.24,438.24,438.24,,Development%20Bank_index,2014-01-08
776.39,776.39,776.39,776.39,,Banking_index,2014-01-08
172.05,172.05,172.05,172.05,,Sensitive_index,2014-01-08
2118.67,2118.67,2118.67,2118.67,,Insurance_index,2014-01-08
771.7,771.7,771.7,771.7,,NEPSE_index,2014-01-08
787.14,787.14,787.14,787.14,,Others_index,2014-01-08
