date,close,open,high,low,volume,symbol
2010-05-16,472.0,500.0,500.0,454.0,690,AHPC
2010-05-16,1400.0,1350.0,1404.0,1248.0,781,EBL
2010-05-16,630.0,630.0,630.0,630.0,75,CIT
2010-05-16,160.0,166.0,166.0,160.0,283,SFCL
2010-05-16,387.0,415.0,415.0,387.0,1548,KBL
2010-05-16,324.0,324.0,325.0,324.0,180,PROFL
2010-05-16,2075.0,2182.0,2194.0,2039.0,1664,NABIL
2010-05-16,661.0,729.0,729.0,649.0,1114,NIMB
2010-05-16,321.0,321.0,321.0,321.0,10,SICL
2010-05-16,418.0,441.0,441.0,409.0,1880,CZBIL
2010-05-16,49.0,51.0,51.0,47.0,10300,NHPC
2010-05-16,260.0,262.0,266.0,256.0,1160,GBIME
2010-05-16,335.0,341.0,341.0,335.0,100,JFL
2010-05-16,2830.0,2900.0,2901.0,2800.0,1209,SCB
2010-05-16,360.0,400.0,400.0,360.0,625,SANIMA
2010-05-16,404.0,440.0,440.0,404.0,1019,LSL
2010-05-16,370.0,390.0,390.0,369.0,793,SBL
2010-05-16,390.0,440.0,440.0,390.0,1335,PCBL
2010-05-16,234.0,254.0,254.0,234.0,1370,ICFC
2010-05-16,451.0,465.0,465.0,450.0,2310,NTC
2010-05-16,1006.0,1025.0,1025.0,961.0,225,HBL
2010-05-16,525.0,545.0,555.0,510.0,3010,NICA
2010-05-16,232.0,232.0,232.0,232.0,40,MDB
2010-05-16,693.0,755.0,755.0,693.0,818,SBI
2010-05-16,173.0,179.0,179.0,173.0,30,GUFL
2010-05-16,1336.0,1336.0,1336.0,1336.0,36,RBCL
2010-05-16,242.0,238.0,242.0,238.0,20,NUBL
2010-05-16,266.0,283.0,283.0,265.0,843,MBL
2010-05-16,3100.0,3100.0,3100.0,3100.0,400,BBC
